A,participant_id,age,gender,reaction_time,stimuli_id,condition,pause_length,pause_onset,pause_type,stimuli_length,stimuli_onset,replaced,target,handedness,silent
110,3,24,kvinna,0.48004453692785,21,exp1,0.678069000000008,3.05130799999999,ehm,0.490893999999997,3.79471099999999,silence,suger,90,False
111,3,24,kvinna,0.359593207925476,2,exp1,0.325348999999999,2.396838,öh,0.282970000000001,2.722187,silence,som,90,False
112,3,24,kvinna,0.381453563069684,23,exp1,0.674537000000001,2.556882,silent,0.342565999999991,3.231419,ehm,unket,90,True
113,3,24,kvinna,0.495863562982187,6,exp1,0.37435,2.562181,öh,0.577417999999998,2.950657,silence,med,90,False
114,3,24,kvinna,0.305097680025426,22,exp1,0.625095000000002,2.60985700000001,silent,0.448514000000003,3.33030500000001,ehm,trots,90,True
115,3,24,kvinna,0.273487954978236,119,exp1,0.318945999999983,2.62303299999996,öh,0.334744000000001,2.94197899999995,silence,jobb,90,False
116,3,24,kvinna,0.4984700280758,10,exp1,0.614498999999995,1.875283,silent,0.868774999999999,2.81469,öh,nycklar,90,True
118,3,24,kvinna,0.696631495986701,5,exp1,0.350512000000002,1.711946,silent,0.173489999999998,2.062458,öh,och,90,True
119,3,24,kvinna,0.592370066049256,13,exp1,0.400836999999996,2.51097200000001,silent,0.188940000000002,2.92593600000001,öh,knappt,90,True
120,3,24,kvinna,0.53956385602956,17,exp1,0.734574000000009,3.136067,ehm,0.897028000000006,4.146106,silence,nonchalant,90,False
121,3,24,kvinna,0.318976857999109,1,exp1,0.436153,1.904419,silent,0.446749,2.363527,öh,träffa,90,True
122,3,24,kvinna,0.368057338033083,20,exp1,0.712501000000003,1.616593,ehm,0.162453999999997,2.405024,silence,gå,90,False
123,3,24,kvinna,0.234450909950454,25,exp1,0.68733899999998,3.053515,silent,0.493424000000005,3.801714,ehm,bordet,90,True
124,3,24,kvinna,0.536112292006777,7,exp1,0.327556000000001,2.509206,silent,0.554462000000001,2.842501,öh,igår,90,True
125,3,24,kvinna,0.472374438983643,12,exp1,0.358458999999996,1.09435600000001,öh,0.155391000000002,1.744172,silence,vad,90,False
126,3,24,kvinna,0.282898666958672,15,exp1,0.692194999999998,2.01301599999999,ehm,0.826396000000003,2.775843,silence,rastlös,90,False
127,3,24,kvinna,0.497277379982449,8,exp1,0.384062,2.785113,silent,0.446748000000007,3.177121,öh,stan,90,True
128,3,24,kvinna,0.392516263989739,3,exp1,0.442631,2.499047,öh,0.374421,2.947483,silence,mitt,90,False
129,3,24,kvinna,0.275543590903084,24,exp1,0.621563000000009,2.67342600000001,ehm,0.616265000000027,3.32147599999999,silence,pastasalladen,90,False
130,3,24,kvinna,0.383592958029339,120,exp1,0.349036000000069,0.916218999999956,silent,0.142923999999994,1.27127300000007,öh,känner,90,True
132,3,24,kvinna,0.453449065007504,27,exp1,0.526209999999992,3.79647600000001,ehm,0.27193299999999,4.35093900000001,silence,se,90,False
134,3,24,kvinna,1.15109611593519,9,exp1,0.406134000000002,1.825841,öh,0.466172,2.281418,silence,tiden,90,False
135,3,24,kvinna,0.363117514077942,28,exp1,0.653346999999997,2.21431699999999,silent,0.522677000000016,2.895917,ehm,kanske,90,True
139,3,24,kvinna,0.477331483000001,91,exp2,0.399092999999994,1.36852599999997,öh,0.595011999999997,1.83873,silence,djur,90,False
140,3,24,kvinna,0.704950784999994,99,exp2,0.920090999999957,2.25378699999999,ehm,0.95201899999995,3.27256199999999,silence,djur,90,False
141,3,24,kvinna,0.648241616000007,93,exp2,0.448436000000015,0.904852000000005,silent,0.53115600000001,1.364172,öh,djur,90,True
143,3,24,kvinna,0.989728573999969,102,exp2,0.426666999999952,1.99111100000005,öh,0.986848000000009,2.44825400000002,silence,fordon,90,False
144,3,24,kvinna,0.680696101999957,106,exp2,0.570339999999987,1.74730099999999,ehm,1.05650800000001,2.51065700000004,silence,fordon,90,False
145,3,24,kvinna,0.643597986000031,103,exp2,0.428844000000026,1.57895700000006,öh,0.518095000000017,2.06367399999999,silence,fordon,90,False
146,3,24,kvinna,0.66551407999998,105,exp2,0.667573999999945,2.00272100000007,silent,0.870748000000049,2.69351500000005,ehm,fordon,90,True
147,3,24,kvinna,0.475182503999917,115,exp2,0.510839000000033,1.60798199999999,ehm,1.09133799999995,2.14204100000006,silence,teknologi,90,False
148,3,24,kvinna,0.431599643000026,92,exp2,0.417958999999996,3.45396899999997,öh,0.754647999999975,3.92997800000001,silence,djur,90,False
149,3,24,kvinna,0.857295098000065,112,exp2,0.370794000000046,1.79156499999999,silent,0.621134000000097,2.24943299999995,öh,teknologi,90,True
150,3,24,kvinna,0.537251160000096,96,exp2,0.717641999999955,1.52018199999998,ehm,0.595011999999997,2.31328799999994,silence,djur,90,False
151,3,24,kvinna,0.632235523000077,114,exp2,0.399092999999994,1.66893399999992,silent,0.605170000000044,2.17396799999995,ehm,teknologi,90,True
152,3,24,kvinna,0.683159386000057,97,exp2,0.563084000000004,2.08979599999998,silent,0.650159000000031,2.73124699999994,ehm,djur,90,True
153,3,24,kvinna,0.634640663000027,95,exp2,0.588842999999997,2.20589599999994,silent,1.11492099999998,2.79473899999994,ehm,djur,90,True
154,3,24,kvinna,0.746669256999951,110,exp2,0.406349999999975,2.46712000000002,öh,0.743037999999956,2.90830000000005,silence,teknologi,90,False
155,3,24,kvinna,0.990145365999922,113,exp2,0.325441999999953,1.22195000000011,öh,0.743038999999953,1.65333300000009,silence,teknologi,90,False
156,3,24,kvinna,0.933750593000014,116,exp2,0.49705199999994,1.84598600000004,ehm,0.788753000000042,2.43156399999998,silence,teknologi,90,False
158,3,24,kvinna,1.00092922499988,104,exp2,0.465850000000046,2.65142900000001,silent,0.700951999999916,3.1274380000001,öh,fordon,90,True
159,3,24,kvinna,1.24802065200009,101,exp2,0.37514699999997,0.706031999999937,silent,0.665397000000098,1.08117899999991,öh,fordon,90,True
160,3,24,kvinna,0.960451702000057,94,exp2,0.444080999999983,1.399002,silent,0.51519200000007,1.93160999999998,öh,djur,90,True
161,3,24,kvinna,0.679112181000051,107,exp2,0.387483000000088,2.05841299999997,ehm,0.544944000000101,2.71020399999998,silence,fordon,90,False
162,3,24,kvinna,0.765130700999976,117,exp2,0.626938999999993,1.45705200000009,ehm,0.809796000000006,2.31038599999999,silence,teknologi,90,False
163,3,24,kvinna,0.640099283999973,90,exp2,0.258321999999964,2.59918400000004,silent,0.461497000000009,2.86766399999999,öh,djur,90,True
164,3,24,kvinna,0.609836162999954,111,exp2,0.365714999999909,1.49623600000007,silent,0.853333000000021,1.99836800000003,öh,teknologi,90,True
165,4,24,man,0.887432990999848,5,exp1,0.350512000000002,1.711946,öh,0.173489999999998,2.062458,silence,och,90,False
166,4,24,man,0.447194670000087,14,exp1,0.705880000000008,1.81215499999999,ehm,0.233086,2.531279,silence,att,90,False
167,4,24,man,0.580287495999959,1,exp1,0.436153,1.904419,öh,0.446749,2.363527,silence,träffa,90,False
168,4,24,man,0.581283476000124,25,exp1,0.68733899999998,3.053515,silent,0.493424000000005,3.801714,ehm,bordet,90,True
169,4,24,man,0.624949692999998,4,exp1,0.437918999999997,3.291285,silent,0.995913000000002,3.766286,öh,fritid,90,True
170,4,24,man,0.44794757500002,2,exp1,0.325348999999999,2.396838,silent,0.282970000000001,2.722187,öh,som,90,True
171,4,24,man,0.50277111499998,11,exp1,0.448514000000003,2.708742,silent,0.370818,3.203167,öh,lära,90,True
172,4,24,man,0.522457950999936,23,exp1,0.674537000000001,2.556882,silent,0.342565999999991,3.231419,ehm,unket,90,True
173,4,24,man,0.784891865000105,27,exp1,0.526209999999992,3.79647600000001,ehm,0.27193299999999,4.35093900000001,silence,se,90,False
174,4,24,man,0.553852314000011,17,exp1,0.734574000000009,3.136067,silent,0.897028000000006,4.146106,ehm,nonchalant,90,True
175,4,24,man,0.461648907000082,10,exp1,0.614498999999995,1.875283,öh,0.868774999999999,2.81469,silence,nycklar,90,False
176,4,24,man,0.705547815999893,13,exp1,0.400836999999996,2.51097200000001,öh,0.188940000000002,2.92593600000001,silence,knappt,90,False
177,4,24,man,0.528675923999984,16,exp1,0.575652000000005,3.728825,ehm,0.761612999999997,4.391001,silence,regelbundet,90,False
178,4,24,man,0.558250694000009,9,exp1,0.406134000000002,1.825841,öh,0.466172,2.281418,silence,tiden,90,False
179,4,24,man,0.651135891000059,6,exp1,0.37435,2.562181,silent,0.577417999999998,2.950657,öh,med,90,True
